Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
19,Female,Other,9016,Student,Quarterly,98,"Vintage, Formal, Streetwear",Instagram,Occasionally,"Unique pieces, Brand access, Affordability","Hygiene, None",5,Definitely,No,3,2,Somewhat,44,"Hygiene guarantee, Easy returns"
29,Male,North America,9048,Professional,Monthly,194,"Sporty, Casual","Instagram, Blogs, YouTube",Occasionally,Unique pieces,"Shipping hassle, None",2,Maybe,Maybe if anonymised,4,2,Neutral,21,Loyalty points
24,Female,Europe,2830,Creative,Monthly,146,"Minimalist, Boho","YouTube, Instagram",No,Brand access,"Sizing fit, Authenticity, None",3,Definitely,Yes,3,4,Somewhat,27,"Quality vetting, Loyalty points, Easy returns, Hygiene guarantee"
48,Female,Europe,4585,Retail/Service,Monthly,17,"Boho, Sporty, Minimalist",Pinterest,Yes,"Affordability, Sustainability, Unique pieces","None, Hygiene, Sizing fit",5,Definitely,Yes,5,2,Very interested,81,"Loyalty points, Easy returns, Quality vetting, Stylist chat"
27,Female,Middle East,3436,Retail/Service,Monthly,41,Streetwear,"IRL friends, TikTok, Instagram",No,Story value,Shipping hassle,4,Definitely,No,4,5,Neutral,32,"Hygiene guarantee, Loyalty points"
33,Female,Europe,16904,Student,Weekly,90,"Formal, Sporty","YouTube, Pinterest",Yes,"Unique pieces, Brand access",Sizing fit,5,Definitely,Maybe if anonymised,3,3,Somewhat,41,"Loyalty points, Quality vetting"
28,Male,Europe,7208,Professional,Monthly,129,Boho,IRL friends,No,"Story value, Unique pieces, Brand access","None, Shipping hassle, Authenticity",2,Definitely,No,3,5,Somewhat,48,"Easy returns, Loyalty points, Quality vetting"
18,Male,Asia,5800,Creative,Monthly,90,Minimalist,"Pinterest, IRL friends",No,Sustainability,"None, Hygiene",5,Maybe,Yes,4,1,Very interested,40,"Stylist chat, Loyalty points, Quality vetting"
26,Female,North America,6705,Retail/Service,Quarterly,226,"Boho, Vintage, Formal","Pinterest, YouTube, IRL friends",Yes,"Sustainability, Affordability, Brand access","None, Shipping hassle",3,Definitely,No,4,3,Somewhat,86,"Easy returns, Stylist chat"
24,Non-binary,Europe,5765,Student,Monthly,183,"Formal, Minimalist","YouTube, IRL friends",Yes,"Sustainability, Unique pieces",Sizing fit,2,Maybe,Maybe if anonymised,5,4,Very interested,46,"Quality vetting, Easy returns, Hygiene guarantee, Stylist chat"
22,Male,North America,6448,Professional,Monthly,22,Streetwear,"TikTok, YouTube, Instagram",Yes,"Unique pieces, Brand access, Sustainability","Authenticity, Shipping hassle, Sizing fit",5,Definitely,Yes,3,3,Not interested,29,Quality vetting
35,Female,Europe,4962,Creative,Monthly,172,"Formal, Boho, Streetwear","TikTok, Pinterest",Yes,Affordability,"None, Authenticity",3,Maybe,Yes,3,4,Very interested,80,Easy returns
18,Female,Australia/NZ,5198,Professional,Quarterly,112,Formal,"Pinterest, Blogs, Instagram",No,Story value,Sizing fit,4,Maybe,Yes,4,3,Somewhat,57,"Quality vetting, Loyalty points"
31,Female,Europe,7682,Professional,Weekly,50,Formal,"YouTube, Instagram",Occasionally,"Sustainability, Affordability","Shipping hassle, None",1,Definitely,Maybe if anonymised,4,2,Very interested,46,Loyalty points
27,Female,Asia,5494,Professional,Weekly,233,Streetwear,TikTok,Yes,"Brand access, Story value","Authenticity, Sizing fit",4,Maybe,No,3,3,Not interested,7,Quality vetting
28,Prefer not to say,Europe,7244,Creative,Weekly,107,"Streetwear, Sporty, Formal","YouTube, Pinterest",Yes,"Story value, Brand access, Unique pieces","Authenticity, Shipping hassle, Hygiene",3,Definitely,Yes,5,4,Neutral,56,"Hygiene guarantee, Stylist chat"
38,Male,North America,5045,Professional,Rarely,67,"Formal, Minimalist","IRL friends, Pinterest",No,"Story value, Unique pieces, Sustainability","None, Shipping hassle, Hygiene",3,Maybe,Maybe if anonymised,5,3,Somewhat,51,"Quality vetting, Loyalty points, Easy returns"
22,Female,Asia,2391,Student,Monthly,219,"Minimalist, Vintage, Sporty",TikTok,Yes,Unique pieces,"None, Shipping hassle, Authenticity",1,Definitely,No,4,1,Somewhat,45,"Hygiene guarantee, Easy returns, Loyalty points"
33,Male,Europe,2857,Student,Weekly,177,"Sporty, Formal, Vintage","TikTok, Pinterest, Blogs",Yes,"Affordability, Sustainability, Unique pieces",Shipping hassle,5,Definitely,No,4,3,Not interested,62,Easy returns
22,Female,Middle East,7278,Student,Monthly,148,Streetwear,IRL friends,No,"Affordability, Unique pieces, Story value","Shipping hassle, None",5,Definitely,Yes,2,5,Very interested,36,"Stylist chat, Loyalty points"
18,Male,Europe,4856,Professional,Quarterly,133,"Sporty, Formal","TikTok, IRL friends, Instagram",No,"Story value, Brand access, Affordability",Authenticity,5,Definitely,Maybe if anonymised,2,3,Very interested,5,"Easy returns, Stylist chat, Hygiene guarantee"
24,Female,Middle East,3201,Student,Monthly,58,Boho,"Pinterest, IRL friends, YouTube",No,"Unique pieces, Brand access, Sustainability",Shipping hassle,4,No,No,4,3,Neutral,60,"Stylist chat, Loyalty points, Hygiene guarantee, Easy returns"
27,Female,North America,10921,Retail/Service,Monthly,75,"Formal, Casual, Boho","Blogs, YouTube, Instagram",Occasionally,"Affordability, Unique pieces, Brand access","None, Shipping hassle, Sizing fit",4,Definitely,Maybe if anonymised,4,4,Not interested,63,"Easy returns, Stylist chat, Hygiene guarantee"
41,Male,Europe,4898,Retail/Service,Rarely,127,Streetwear,Pinterest,No,Brand access,"Sizing fit, Shipping hassle",4,Maybe,Maybe if anonymised,4,5,Somewhat,48,"Hygiene guarantee, Easy returns, Quality vetting"
23,Male,Europe,12290,Retail/Service,Quarterly,80,"Casual, Vintage, Minimalist","IRL friends, YouTube",Occasionally,"Unique pieces, Story value","None, Hygiene",1,Definitely,Maybe if anonymised,2,2,Not interested,65,"Hygiene guarantee, Stylist chat, Quality vetting, Easy returns"
28,Female,Asia,6438,Creative,Monthly,297,"Formal, Streetwear",Blogs,Yes,"Affordability, Unique pieces, Story value",Hygiene,4,Maybe,Yes,3,4,Somewhat,67,Hygiene guarantee
28,Male,Europe,3260,Student,Monthly,28,Streetwear,"Pinterest, TikTok",Yes,Story value,None,4,Definitely,Yes,4,5,Neutral,26,"Stylist chat, Hygiene guarantee, Quality vetting, Loyalty points"
25,Male,Europe,6374,Retail/Service,Monthly,78,"Streetwear, Vintage",Blogs,Yes,"Affordability, Unique pieces, Story value",None,4,No,Maybe if anonymised,5,1,Not interested,42,"Easy returns, Stylist chat"
32,Non-binary,Middle East,4693,Retail/Service,Monthly,10,Boho,Blogs,Occasionally,"Sustainability, Unique pieces, Affordability","Hygiene, Shipping hassle, Sizing fit",4,Maybe,Yes,4,4,Not interested,27,"Stylist chat, Loyalty points, Easy returns, Hygiene guarantee"
29,Female,Europe,7619,Student,Weekly,120,Boho,"IRL friends, YouTube",Yes,Sustainability,"Shipping hassle, Authenticity, Sizing fit",4,Definitely,Maybe if anonymised,3,4,Not interested,44,"Stylist chat, Easy returns, Hygiene guarantee, Quality vetting"
19,Non-binary,Middle East,12184,Professional,Monthly,63,Boho,IRL friends,Occasionally,"Brand access, Sustainability, Affordability","Authenticity, Sizing fit",5,Definitely,No,5,3,Somewhat,68,Quality vetting
23,Male,Europe,18667,Student,Monthly,179,"Formal, Streetwear","Instagram, Blogs, Pinterest",No,Affordability,"Hygiene, None",3,Maybe,Yes,5,3,Very interested,30,Hygiene guarantee
18,Female,North America,7106,Professional,Monthly,150,Boho,"Blogs, Pinterest, TikTok",No,"Story value, Brand access","Authenticity, Hygiene, Sizing fit",3,Maybe,No,4,4,Very interested,36,Hygiene guarantee
29,Female,North America,3112,Retail/Service,Monthly,138,"Minimalist, Boho, Streetwear","Blogs, Pinterest",No,Affordability,"Sizing fit, Shipping hassle, Hygiene",4,Maybe,Yes,3,4,Somewhat,58,"Easy returns, Hygiene guarantee, Loyalty points, Quality vetting"
39,Female,Europe,5332,Professional,Monthly,198,Casual,IRL friends,Yes,"Affordability, Brand access",Authenticity,5,Definitely,No,4,4,Very interested,5,"Quality vetting, Hygiene guarantee"
41,Male,North America,4791,Professional,Monthly,70,"Minimalist, Boho",Instagram,No,Affordability,"Sizing fit, None",4,Maybe,Yes,3,3,Very interested,39,"Loyalty points, Easy returns, Quality vetting"
30,Male,Australia/NZ,10822,Student,Weekly,160,"Streetwear, Boho, Formal","Pinterest, YouTube, Blogs",Yes,Affordability,Hygiene,5,Maybe,Maybe if anonymised,2,2,Somewhat,12,"Stylist chat, Loyalty points"
38,Male,North America,3714,Professional,Quarterly,140,"Streetwear, Casual","Pinterest, Blogs, YouTube",Occasionally,"Story value, Unique pieces, Affordability","Shipping hassle, Sizing fit",4,Definitely,Maybe if anonymised,3,3,Somewhat,59,"Hygiene guarantee, Quality vetting, Loyalty points"
25,Female,North America,3555,Professional,Quarterly,137,Streetwear,"YouTube, IRL friends",Occasionally,Story value,Authenticity,3,Definitely,Yes,3,4,Somewhat,92,Loyalty points
33,Prefer not to say,North America,7858,Professional,Quarterly,79,Minimalist,"Blogs, IRL friends",No,"Brand access, Affordability, Sustainability",Hygiene,3,Definitely,Maybe if anonymised,3,3,Not interested,51,"Loyalty points, Easy returns"
32,Female,Middle East,8964,Professional,Monthly,151,"Vintage, Casual, Boho","YouTube, Instagram",Yes,"Story value, Sustainability, Unique pieces","Hygiene, None",2,Maybe,Yes,2,4,Somewhat,64,"Quality vetting, Easy returns"
42,Female,North America,6813,Student,Monthly,70,"Formal, Sporty, Minimalist",IRL friends,No,Story value,"Sizing fit, None",5,Maybe,Maybe if anonymised,3,4,Not interested,27,"Loyalty points, Stylist chat, Quality vetting, Easy returns"
18,Non-binary,North America,13719,Other,Weekly,100,"Minimalist, Formal","Blogs, IRL friends, TikTok",No,Story value,Authenticity,2,Definitely,Yes,5,3,Somewhat,16,Loyalty points
20,Female,North America,10413,Retail/Service,Monthly,147,"Streetwear, Vintage, Boho","IRL friends, TikTok, YouTube",Yes,"Unique pieces, Story value, Sustainability","Shipping hassle, None",4,Maybe,Yes,4,2,Somewhat,37,"Loyalty points, Hygiene guarantee, Stylist chat"
33,Female,Africa,7199,Creative,Monthly,108,"Sporty, Vintage, Boho","Blogs, IRL friends",Yes,Sustainability,"Authenticity, Hygiene",5,Definitely,Maybe if anonymised,3,4,Very interested,93,"Stylist chat, Loyalty points"
38,Male,Europe,2859,Student,Monthly,115,"Streetwear, Formal","Pinterest, IRL friends, YouTube",Occasionally,"Story value, Sustainability, Unique pieces","Shipping hassle, None",5,Maybe,Maybe if anonymised,5,2,Somewhat,20,Loyalty points
27,Female,North America,4752,Other,Quarterly,34,Sporty,"Pinterest, Instagram, YouTube",No,"Brand access, Sustainability","Authenticity, Hygiene, Sizing fit",5,No,Maybe if anonymised,3,2,Somewhat,58,Hygiene guarantee
30,Female,Middle East,6137,Student,Monthly,143,"Formal, Streetwear",Pinterest,No,Unique pieces,None,1,Maybe,Maybe if anonymised,4,1,Very interested,48,"Hygiene guarantee, Quality vetting"
18,Female,North America,7960,Retail/Service,Monthly,66,"Streetwear, Minimalist, Boho","YouTube, Pinterest, Blogs",No,"Unique pieces, Story value, Affordability","Shipping hassle, Authenticity",3,Definitely,No,3,2,Very interested,26,"Hygiene guarantee, Quality vetting, Stylist chat, Easy returns"
31,Female,Europe,7520,Creative,Rarely,48,"Vintage, Minimalist",IRL friends,Yes,"Story value, Unique pieces, Brand access","Authenticity, None, Shipping hassle",3,Maybe,Yes,3,4,Very interested,57,"Easy returns, Hygiene guarantee"
32,Male,Other,4141,Professional,Weekly,147,"Formal, Boho",Instagram,Yes,"Sustainability, Story value, Affordability",Authenticity,2,No,Yes,4,3,Very interested,5,"Quality vetting, Easy returns"
19,Male,North America,6990,Professional,Monthly,191,Vintage,YouTube,Yes,"Sustainability, Affordability, Unique pieces",Shipping hassle,4,Definitely,Yes,2,1,Very interested,45,"Stylist chat, Loyalty points, Quality vetting, Easy returns"
27,Male,Asia,7559,Professional,Quarterly,168,"Boho, Formal, Casual","Pinterest, Instagram, TikTok",No,"Sustainability, Unique pieces","Authenticity, Shipping hassle, None",4,Definitely,Maybe if anonymised,4,4,Very interested,35,Stylist chat
37,Non-binary,Middle East,5798,Student,Monthly,85,Minimalist,"Instagram, YouTube, Pinterest",Occasionally,Brand access,"None, Authenticity",4,Definitely,Maybe if anonymised,3,3,Neutral,40,"Quality vetting, Hygiene guarantee, Stylist chat, Easy returns"
25,Female,Europe,2550,Creative,Monthly,10,"Streetwear, Casual","YouTube, Instagram",No,"Story value, Affordability","None, Authenticity, Sizing fit",5,Definitely,Maybe if anonymised,4,4,Somewhat,75,"Hygiene guarantee, Loyalty points, Quality vetting"
18,Male,Asia,11555,Professional,Monthly,109,"Vintage, Minimalist","IRL friends, TikTok, Blogs",Yes,"Brand access, Sustainability, Unique pieces",None,1,Maybe,Maybe if anonymised,4,5,Very interested,47,Quality vetting
18,Male,Middle East,3477,Homemaker,Monthly,103,Formal,Blogs,Yes,"Brand access, Sustainability, Unique pieces",Authenticity,2,Maybe,Maybe if anonymised,4,4,Neutral,60,"Stylist chat, Loyalty points"
29,Female,North America,3549,Creative,Weekly,151,Vintage,"Pinterest, YouTube",Yes,Sustainability,"Authenticity, None, Sizing fit",1,Definitely,Maybe if anonymised,3,5,Somewhat,5,Stylist chat
28,Prefer not to say,Middle East,6781,Professional,Quarterly,165,Sporty,Pinterest,Occasionally,"Unique pieces, Story value, Brand access",Shipping hassle,4,Definitely,Maybe if anonymised,4,2,Very interested,67,"Loyalty points, Quality vetting"
27,Male,North America,5682,Student,Monthly,158,Streetwear,YouTube,Yes,"Story value, Unique pieces",Sizing fit,4,Maybe,Maybe if anonymised,3,4,Very interested,7,Easy returns
35,Female,Europe,5167,Homemaker,Weekly,105,"Minimalist, Boho","TikTok, Pinterest, IRL friends",Yes,"Affordability, Sustainability, Story value","Shipping hassle, Sizing fit, None",2,Definitely,Yes,4,4,Somewhat,15,"Quality vetting, Easy returns, Hygiene guarantee"
22,Male,Europe,5350,Student,Monthly,243,"Sporty, Streetwear, Casual","YouTube, Blogs, Instagram",Occasionally,Brand access,"Authenticity, None, Sizing fit",2,Definitely,Yes,4,3,Somewhat,25,Stylist chat
45,Male,Asia,7428,Creative,Monthly,142,"Streetwear, Casual, Sporty",Pinterest,Yes,"Unique pieces, Affordability",Sizing fit,5,Maybe,No,1,5,Very interested,54,"Loyalty points, Hygiene guarantee, Quality vetting"
43,Female,Europe,7209,Other,Quarterly,195,"Vintage, Casual","Pinterest, YouTube, IRL friends",Yes,"Sustainability, Story value, Unique pieces","Sizing fit, None",4,Definitely,Yes,4,4,Very interested,101,Stylist chat
37,Female,Asia,5216,Professional,Rarely,161,"Casual, Formal, Streetwear","Instagram, IRL friends",Yes,Unique pieces,Authenticity,3,Maybe,Maybe if anonymised,2,5,Somewhat,65,"Hygiene guarantee, Easy returns"
37,Male,Australia/NZ,4880,Creative,Monthly,77,"Vintage, Minimalist","IRL friends, Pinterest",Occasionally,Sustainability,Hygiene,5,Maybe,No,3,4,Neutral,62,"Easy returns, Hygiene guarantee"
28,Female,Europe,2824,Professional,Monthly,193,Streetwear,"YouTube, IRL friends",Occasionally,"Unique pieces, Story value, Sustainability","Sizing fit, Shipping hassle, Hygiene",5,Maybe,Yes,3,3,Very interested,39,"Stylist chat, Easy returns"
19,Male,Asia,5098,Homemaker,Rarely,183,"Minimalist, Streetwear, Sporty",Blogs,No,"Story value, Unique pieces","Shipping hassle, Hygiene, None",2,Maybe,Yes,3,3,Very interested,60,"Hygiene guarantee, Loyalty points"
35,Female,Europe,3390,Retail/Service,Monthly,212,"Sporty, Casual","Blogs, Pinterest, Instagram",Yes,"Affordability, Brand access, Sustainability","Hygiene, None",5,Definitely,No,4,4,Somewhat,81,"Hygiene guarantee, Loyalty points, Easy returns, Stylist chat"
37,Male,Australia/NZ,5128,Retail/Service,Quarterly,61,Sporty,"YouTube, Blogs",Occasionally,"Story value, Unique pieces, Brand access","Sizing fit, Shipping hassle, Hygiene",2,Definitely,Maybe if anonymised,4,5,Not interested,12,"Hygiene guarantee, Easy returns"
32,Female,Asia,5705,Professional,Monthly,249,"Formal, Boho",Blogs,Yes,"Sustainability, Affordability, Story value","Hygiene, Shipping hassle, Authenticity",4,Maybe,Maybe if anonymised,4,4,Somewhat,29,"Stylist chat, Easy returns, Quality vetting, Loyalty points"
25,Male,North America,8851,Student,Weekly,192,Formal,Pinterest,Yes,"Unique pieces, Brand access","None, Shipping hassle",5,No,Yes,1,4,Not interested,24,"Easy returns, Stylist chat, Hygiene guarantee, Quality vetting"
26,Female,Europe,1977,Professional,Monthly,194,"Minimalist, Sporty","Pinterest, TikTok",No,Sustainability,"Shipping hassle, Sizing fit",1,Maybe,Maybe if anonymised,3,5,Not interested,82,"Easy returns, Hygiene guarantee"
18,Female,North America,7523,Retail/Service,Monthly,139,"Sporty, Casual",IRL friends,Occasionally,Story value,"Shipping hassle, Authenticity",3,Definitely,Maybe if anonymised,4,3,Somewhat,5,"Loyalty points, Hygiene guarantee, Stylist chat"
41,Female,North America,4577,Professional,Rarely,58,Sporty,"IRL friends, YouTube, Blogs",No,"Sustainability, Unique pieces","Hygiene, Shipping hassle",4,Definitely,Maybe if anonymised,3,3,Somewhat,68,"Easy returns, Hygiene guarantee, Quality vetting"
30,Female,Europe,3131,Professional,Monthly,57,Casual,IRL friends,Yes,Unique pieces,Hygiene,5,Definitely,Yes,5,2,Neutral,14,Quality vetting
45,Male,Other,2592,Professional,Weekly,30,Minimalist,"IRL friends, Blogs",Yes,"Sustainability, Affordability",Shipping hassle,3,Definitely,Maybe if anonymised,5,4,Somewhat,54,"Quality vetting, Stylist chat, Hygiene guarantee, Loyalty points"
34,Male,North America,3746,Retail/Service,Quarterly,98,Streetwear,IRL friends,Occasionally,"Affordability, Sustainability, Story value","None, Sizing fit",3,Definitely,Yes,2,3,Somewhat,52,"Loyalty points, Hygiene guarantee"
32,Female,Europe,3445,Homemaker,Quarterly,153,"Casual, Vintage, Minimalist","Pinterest, Instagram",No,"Story value, Brand access, Unique pieces","Shipping hassle, Hygiene",4,Maybe,No,3,2,Neutral,27,"Easy returns, Loyalty points, Quality vetting"
32,Male,North America,14772,Student,Quarterly,62,Casual,Instagram,Yes,"Sustainability, Brand access, Unique pieces","Shipping hassle, Hygiene, Authenticity",4,Definitely,Yes,4,1,Very interested,12,"Quality vetting, Loyalty points, Hygiene guarantee, Stylist chat"
27,Male,North America,3835,Retail/Service,Monthly,123,"Vintage, Minimalist, Casual","YouTube, Instagram",No,Brand access,"Sizing fit, Hygiene, None",3,Definitely,Maybe if anonymised,3,1,Somewhat,73,"Quality vetting, Loyalty points"
33,Female,Middle East,1747,Retail/Service,Quarterly,133,"Formal, Streetwear, Casual","Pinterest, YouTube",No,"Brand access, Story value, Unique pieces",Hygiene,1,Definitely,Maybe if anonymised,3,4,Very interested,79,"Loyalty points, Easy returns, Stylist chat, Quality vetting"
32,Male,North America,2909,Homemaker,Weekly,145,"Sporty, Vintage, Casual",YouTube,Yes,"Sustainability, Affordability, Story value",Hygiene,4,Definitely,Maybe if anonymised,4,5,Somewhat,35,"Easy returns, Loyalty points, Quality vetting"
24,Male,Asia,10317,Professional,Monthly,125,"Casual, Boho",Instagram,Occasionally,Story value,"Hygiene, Sizing fit, Authenticity",3,Definitely,Yes,2,3,Somewhat,45,Hygiene guarantee
19,Female,Europe,4357,Homemaker,Monthly,99,"Vintage, Sporty, Streetwear","Blogs, IRL friends, Instagram",Yes,"Sustainability, Brand access",Shipping hassle,5,No,Yes,2,2,Neutral,28,"Loyalty points, Easy returns"
33,Non-binary,North America,9010,Student,Monthly,68,"Streetwear, Sporty, Boho","Pinterest, TikTok, YouTube",Occasionally,"Story value, Brand access","Authenticity, Sizing fit",3,Definitely,Maybe if anonymised,4,3,Very interested,59,"Quality vetting, Loyalty points"
39,Male,Middle East,4859,Student,Quarterly,143,Vintage,YouTube,No,"Affordability, Sustainability, Brand access",Hygiene,3,Definitely,Yes,5,3,Somewhat,5,Hygiene guarantee
18,Male,Australia/NZ,16087,Other,Quarterly,159,Sporty,Blogs,Occasionally,"Unique pieces, Sustainability, Story value",Hygiene,4,Maybe,Maybe if anonymised,4,3,Not interested,55,Stylist chat
37,Female,Africa,7221,Creative,Quarterly,107,Boho,"Instagram, YouTube, IRL friends",Yes,Story value,"Hygiene, None, Sizing fit",5,Maybe,Maybe if anonymised,3,5,Very interested,7,"Quality vetting, Loyalty points, Easy returns"
28,Male,North America,3572,Student,Monthly,144,"Sporty, Minimalist","Pinterest, TikTok",No,Unique pieces,"Sizing fit, Authenticity",3,Maybe,No,2,2,Somewhat,51,"Loyalty points, Stylist chat"
21,Female,Europe,4331,Professional,Rarely,103,Vintage,IRL friends,Occasionally,"Unique pieces, Affordability, Story value","Hygiene, Shipping hassle, None",5,Maybe,Maybe if anonymised,4,3,Somewhat,64,"Hygiene guarantee, Quality vetting, Easy returns"
34,Male,Asia,10219,Retail/Service,Monthly,73,Vintage,YouTube,Yes,"Story value, Affordability, Brand access","Authenticity, Sizing fit, None",5,Definitely,Maybe if anonymised,5,5,Neutral,42,"Quality vetting, Hygiene guarantee, Easy returns, Loyalty points"
18,Male,Africa,7526,Professional,Weekly,174,"Vintage, Minimalist",Blogs,No,"Sustainability, Unique pieces",Hygiene,3,No,Yes,2,4,Not interested,72,Loyalty points
20,Female,Europe,5646,Other,Monthly,77,"Casual, Streetwear, Sporty","Blogs, YouTube, Pinterest",Yes,"Affordability, Brand access, Story value","Sizing fit, None, Authenticity",3,Definitely,Yes,2,3,Not interested,5,"Loyalty points, Easy returns, Stylist chat, Hygiene guarantee"
43,Female,Europe,15092,Professional,Monthly,26,"Minimalist, Formal","Blogs, Pinterest, Instagram",Occasionally,"Sustainability, Story value","Hygiene, Shipping hassle, Authenticity",5,Definitely,Yes,5,4,Neutral,35,"Easy returns, Stylist chat, Hygiene guarantee"
18,Female,Australia/NZ,9269,Professional,Monthly,149,"Sporty, Formal, Vintage",YouTube,Yes,"Sustainability, Brand access","Sizing fit, None",5,No,Yes,3,2,Somewhat,73,"Loyalty points, Hygiene guarantee, Quality vetting"
20,Non-binary,Asia,6348,Retail/Service,Quarterly,165,Formal,"Instagram, Pinterest, YouTube",No,Story value,Hygiene,3,Definitely,Maybe if anonymised,5,2,Somewhat,36,"Loyalty points, Easy returns"
37,Male,Europe,4701,Professional,Rarely,151,"Boho, Formal","TikTok, IRL friends",No,Unique pieces,"None, Hygiene",4,Maybe,Yes,4,2,Neutral,46,"Quality vetting, Stylist chat, Easy returns"
22,Male,Asia,5658,Other,Weekly,19,Formal,"Blogs, IRL friends, Pinterest",Yes,Unique pieces,"Authenticity, Hygiene, Shipping hassle",5,Definitely,No,3,3,Somewhat,67,Hygiene guarantee
21,Female,North America,6677,Creative,Quarterly,37,"Sporty, Formal",Pinterest,Occasionally,"Unique pieces, Story value, Sustainability",Shipping hassle,5,Maybe,No,4,4,Somewhat,67,"Stylist chat, Quality vetting, Hygiene guarantee, Loyalty points"
28,Male,Asia,4369,Student,Quarterly,140,"Formal, Minimalist","TikTok, IRL friends",No,"Sustainability, Affordability","Shipping hassle, None, Hygiene",4,Definitely,Yes,4,2,Somewhat,80,"Hygiene guarantee, Quality vetting"
20,Female,Europe,11886,Creative,Monthly,83,Vintage,"IRL friends, TikTok, Blogs",No,"Affordability, Sustainability, Unique pieces","None, Authenticity, Sizing fit",2,Definitely,Maybe if anonymised,3,3,Somewhat,46,"Loyalty points, Stylist chat"
26,Male,Middle East,5913,Student,Weekly,154,"Formal, Vintage",Blogs,Occasionally,"Story value, Affordability, Unique pieces",Sizing fit,4,Maybe,Yes,1,5,Somewhat,25,"Quality vetting, Easy returns, Loyalty points, Stylist chat"
21,Female,North America,9874,Professional,Weekly,141,Formal,YouTube,No,Sustainability,Authenticity,3,Definitely,Yes,3,5,Neutral,67,"Hygiene guarantee, Loyalty points"
35,Male,Africa,6349,Professional,Monthly,137,Casual,"YouTube, Pinterest, Blogs",Occasionally,"Brand access, Sustainability, Unique pieces","Sizing fit, Shipping hassle, Hygiene",3,Definitely,Yes,5,1,Not interested,54,"Easy returns, Quality vetting, Loyalty points"
38,Female,North America,4740,Professional,Quarterly,10,Sporty,TikTok,No,Sustainability,None,1,Definitely,Yes,3,2,Very interested,91,"Hygiene guarantee, Quality vetting, Easy returns, Stylist chat"
32,Male,North America,5940,Student,Monthly,30,"Streetwear, Vintage",IRL friends,Occasionally,"Brand access, Sustainability, Unique pieces",Sizing fit,4,Definitely,Maybe if anonymised,3,4,Somewhat,70,"Quality vetting, Easy returns"
18,Female,North America,7524,Other,Monthly,12,Streetwear,"TikTok, Pinterest",Yes,"Affordability, Story value","None, Authenticity",3,No,Yes,4,4,Somewhat,14,Easy returns
38,Male,Europe,7616,Professional,Quarterly,84,Casual,TikTok,No,"Brand access, Story value, Affordability",Hygiene,2,Maybe,No,4,5,Somewhat,18,"Quality vetting, Easy returns, Hygiene guarantee"
37,Male,North America,11712,Retail/Service,Quarterly,154,Streetwear,"Blogs, IRL friends, TikTok",No,"Sustainability, Brand access",Sizing fit,3,Definitely,Yes,4,4,Very interested,63,Stylist chat
29,Male,Asia,5391,Professional,Quarterly,203,"Boho, Minimalist","IRL friends, Instagram",Yes,"Sustainability, Affordability, Unique pieces","Hygiene, Authenticity",4,Definitely,Maybe if anonymised,3,5,Neutral,67,"Stylist chat, Easy returns"
27,Male,Asia,4807,Professional,Quarterly,82,Boho,"Pinterest, TikTok",Yes,"Story value, Unique pieces, Brand access","Shipping hassle, Sizing fit",4,Definitely,Maybe if anonymised,5,3,Very interested,18,"Loyalty points, Stylist chat, Quality vetting"
18,Male,North America,1858,Student,Weekly,99,Minimalist,"Instagram, Pinterest, TikTok",No,"Unique pieces, Affordability","Sizing fit, Authenticity",3,No,Yes,4,3,Somewhat,29,Loyalty points
18,Male,Middle East,4115,Retail/Service,Rarely,134,"Minimalist, Formal","IRL friends, YouTube, Blogs",Yes,"Story value, Sustainability, Unique pieces",Shipping hassle,1,Maybe,Maybe if anonymised,4,2,Very interested,23,"Hygiene guarantee, Stylist chat"
18,Female,Australia/NZ,6217,Student,Quarterly,169,"Casual, Boho, Minimalist","Blogs, TikTok, YouTube",Yes,Brand access,"None, Sizing fit, Hygiene",5,Definitely,Maybe if anonymised,4,1,Not interested,61,"Easy returns, Quality vetting, Stylist chat"
18,Male,Asia,3307,Creative,Monthly,29,"Minimalist, Streetwear, Boho",YouTube,No,"Story value, Sustainability, Unique pieces","None, Sizing fit, Shipping hassle",5,Maybe,No,5,1,Somewhat,26,"Hygiene guarantee, Stylist chat, Easy returns"
24,Male,Middle East,8152,Professional,Monthly,126,"Boho, Vintage, Streetwear","Pinterest, IRL friends, Instagram",Occasionally,Brand access,Hygiene,4,Maybe,Maybe if anonymised,4,5,Somewhat,18,Hygiene guarantee
18,Male,North America,6547,Student,Monthly,99,"Boho, Casual","Blogs, YouTube, Pinterest",Yes,"Unique pieces, Story value, Affordability","Shipping hassle, Hygiene",5,Maybe,Yes,4,5,Neutral,28,"Stylist chat, Easy returns, Loyalty points, Hygiene guarantee"
35,Male,Other,6929,Creative,Monthly,156,Minimalist,"IRL friends, Pinterest, Instagram",Yes,"Brand access, Affordability",Authenticity,3,Definitely,Yes,4,4,Very interested,24,"Loyalty points, Hygiene guarantee"
